player_id,name,club_id,position,annual_salary_gbp,value_rating
P001,Ederson,MCI,GK,6500000,7
P002,Stefan Ortega,MCI,GK,3100000,6
P003,Ruben Dias,MCI,DEF,11400000,9
P004,Josko Gvardiol,MCI,DEF,9400000,8
P005,Nathan Ake,MCI,DEF,7800000,6
P006,Manuel Akanji,MCI,DEF,7300000,7
P007,John Stones,MCI,DEF,9900000,6
P008,Rico Lewis,MCI,DEF,2600000,7
P009,Matheus Nunes,MCI,DEF,6800000,5
P010,Rodri,MCI,MID,12500000,9
P011,Bernardo Silva,MCI,MID,10900000,8
P012,Mateo Kovacic,MCI,MID,8300000,6
P013,Nico Gonzalez,MCI,MID,5200000,6
P014,Phil Foden,MCI,MID,11400000,8
P015,Tijjani Reijnders,MCI,MID,7300000,7
P016,Erling Haaland,MCI,FWD,27300000,10
P017,Omar Marmoush,MCI,FWD,8300000,7
P018,Savinho,MCI,FWD,4700000,7
P019,David Raya,ARS,GK,5200000,8
P020,Kepa Arrizabalaga,ARS,GK,4200000,5
P021,William Saliba,ARS,DEF,10400000,9
P022,Gabriel Magalhaes,ARS,DEF,6800000,8
P023,Ben White,ARS,DEF,6200000,6
P024,Jurrien Timber,ARS,DEF,4700000,7
P025,Riccardo Calafiori,ARS,DEF,4200000,6
P026,Myles Lewis-Skelly,ARS,DEF,1600000,7
P027,Declan Rice,ARS,MID,13000000,9
P028,Martin Odegaard,ARS,MID,12000000,8
P029,Mikel Merino,ARS,MID,6200000,6
P030,Martin Zubimendi,ARS,MID,7300000,7
P031,Leandro Trossard,ARS,MID,5700000,6
P032,Bukayo Saka,ARS,FWD,15600000,9
P033,Kai Havertz,ARS,FWD,14000000,6
P034,Gabriel Martinelli,ARS,FWD,9400000,6
P035,Viktor Gyokeres,ARS,FWD,10900000,8
P036,Alisson Becker,LIV,GK,8300000,8
P037,Giorgi Mamardashvili,LIV,GK,3600000,6
P038,Virgil van Dijk,LIV,DEF,15600000,9
P039,Ibrahima Konate,LIV,DEF,6200000,7
P040,Andy Robertson,LIV,DEF,8300000,5
P041,Conor Bradley,LIV,DEF,2100000,6
P042,Jeremie Frimpong,LIV,DEF,5200000,7
P043,Milos Kerkez,LIV,DEF,4700000,7
P044,Ryan Gravenberch,LIV,MID,6800000,8
P045,Alexis Mac Allister,LIV,MID,7800000,8
P046,Dominik Szoboszlai,LIV,MID,6800000,7
P047,Curtis Jones,LIV,MID,4200000,6
P048,Florian Wirtz,LIV,MID,10400000,8
P049,Mohamed Salah,LIV,FWD,20800000,9
P050,Cody Gakpo,LIV,FWD,6800000,7
P051,Hugo Ekitike,LIV,FWD,7300000,7
P052,Alexander Isak,LIV,FWD,14600000,8
P053,Robert Sanchez,CHE,GK,4200000,5
