player_id,name,club_id,position,annual_salary_gbp,value_rating
P001,Ederson,MCI,Goalie,6500000,7
P002,Stefan Ortega,MCI,Goalie,3100000,6
P003,Ruben Dias,MCI,Defender,11400000,9
P004,Josko Gvardiol,MCI,Defender,9400000,8
P005,Nathan Ake,MCI,Defender,7800000,6
P006,Manuel Akanji,MCI,Defender,7300000,7
P007,John Stones,MCI,Defender,9900000,6
P008,Rico Lewis,MCI,Defender,2600000,7
P009,Matheus Nunes,MCI,Defender,6800000,5
P010,Rodri,MCI,Midfield,12500000,9
P011,Bernardo Silva,MCI,Midfield,10900000,8
P012,Mateo Kovacic,MCI,Midfield,8300000,6
P013,Nico Gonzalez,MCI,Midfield,5200000,6
P014,Phil Foden,MCI,Midfield,11400000,8
P015,Tijjani Reijnders,MCI,Midfield,7300000,7
P016,Erling Haaland,MCI,Forward,27300000,10
P017,Omar Marmoush,MCI,Forward,8300000,7
P018,Savinho,MCI,Forward,4700000,7
P019,David Raya,ARS,Goalie,5200000,8
P020,Kepa Arrizabalaga,ARS,Goalie,4200000,5
P021,William Saliba,ARS,Defender,10400000,9
P022,Gabriel Magalhaes,ARS,Defender,6800000,8
P023,Ben White,ARS,Defender,6200000,6
P024,Jurrien Timber,ARS,Defender,4700000,7
P025,Riccardo Calafiori,ARS,Defender,4200000,6
P026,Myles Lewis-Skelly,ARS,Defender,1600000,7
P027,Declan Rice,ARS,Midfield,13000000,9
P028,Martin Odegaard,ARS,Midfield,12000000,8
P029,Mikel Merino,ARS,Midfield,6200000,6
P030,Martin Zubimendi,ARS,Midfield,7300000,7
P031,Leandro Trossard,ARS,Midfield,5700000,6
P032,Bukayo Saka,ARS,Forward,15600000,9
P033,Kai Havertz,ARS,Forward,14000000,6
P034,Gabriel Martinelli,ARS,Forward,9400000,6
P035,Viktor Gyokeres,ARS,Forward,10900000,8
P036,Alisson Becker,LIV,Goalie,8300000,8
P037,Giorgi Mamardashvili,LIV,Goalie,3600000,6
P038,Virgil van Dijk,LIV,Defender,15600000,9
P039,Ibrahima Konate,LIV,Defender,6200000,7
P040,Andy Robertson,LIV,Defender,8300000,5
P041,Conor Bradley,LIV,Defender,2100000,6
P042,Jeremie Frimpong,LIV,Defender,5200000,7
P043,Milos Kerkez,LIV,Defender,4700000,7
P044,Ryan Gravenberch,LIV,Midfield,6800000,8
P045,Alexis Mac Allister,LIV,Midfield,7800000,8
P046,Dominik Szoboszlai,LIV,Midfield,6800000,7
P047,Curtis Jones,LIV,Midfield,4200000,6
P048,Florian Wirtz,LIV,Midfield,10400000,8
P049,Mohamed Salah,LIV,Forward,20800000,9
P050,Cody Gakpo,LIV,Forward,6800000,7
P051,Hugo Ekitike,LIV,Forward,7300000,7
P052,Alexander Isak,LIV,Forward,14600000,8
P053,Robert Sanchez,CHE,Goalie,4200000,5
P054,Filip Jorgensen,CHE,Goalie,2600000,5
P055,Levi Colwill,CHE,Defender,5200000,7
P056,Wesley Fofana,CHE,Defender,9400000,5
P057,Marc Cucurella,CHE,Defender,7800000,7
P058,Reece James,CHE,Defender,13000000,6
P059,Malo Gusto,CHE,Defender,3600000,6
P060,Tosin Adarabioyo,CHE,Defender,5200000,6
P061,Enzo Fernandez,CHE,Midfield,10400000,7
P062,Moises Caicedo,CHE,Midfield,10900000,8
P063,Romeo Lavia,CHE,Midfield,6200000,4
P064,Cole Palmer,CHE,Midfield,13500000,9
P065,Dario Essugo,CHE,Midfield,2600000,4
P066,Nicolas Jackson,CHE,Forward,7300000,6
P067,Christopher Nkunku,CHE,Forward,10400000,5
P068,Pedro Neto,CHE,Forward,7800000,6
P069,Joao Pedro,CHE,Forward,7300000,7
P070,Andre Onana,MUN,Goalie,6800000,4
P071,Altay Bayindir,MUN,Goalie,2600000,4
P072,Lisandro Martinez,MUN,Defender,6800000,7
P073,Matthijs de Ligt,MUN,Defender,8300000,7
P074,Leny Yoro,MUN,Defender,4200000,6
P075,Luke Shaw,MUN,Defender,9400000,5
P076,Noussair Mazraoui,MUN,Defender,5200000,6
P077,Diogo Dalot,MUN,Defender,6200000,6
P078,Bruno Fernandes,MUN,Midfield,14600000,8
P079,Casemiro,MUN,Midfield,18200000,4
P080,Kobbie Mainoo,MUN,Midfield,3100000,7
P081,Manuel Ugarte,MUN,Midfield,6800000,5
P082,Rasmus Hojlund,MUN,Forward,6800000,5
P083,Marcus Rashford,MUN,Forward,15600000,5
P084,Matheus Cunha,MUN,Forward,9400000,7
P085,Bryan Mbeumo,MUN,Forward,9900000,7
P086,Guglielmo Vicario,TOT,Goalie,4200000,7
P087,Antonin Kinsky,TOT,Goalie,1600000,5
P088,Cristian Romero,TOT,Defender,9400000,8
P089,Micky van de Ven,TOT,Defender,4700000,8
P090,Destiny Udogie,TOT,Defender,4200000,6
P091,Pedro Porro,TOT,Defender,5700000,6
P092,Kevin Danso,TOT,Defender,3600000,5
P093,James Maddison,TOT,Midfield,9400000,6
P094,Rodrigo Bentancur,TOT,Midfield,5700000,6
P095,Pape Matar Sarr,TOT,Midfield,3600000,6
P096,Lucas Bergvall,TOT,Midfield,2100000,7
P097,Dominic Solanke,TOT,Forward,7800000,6
P098,Son Heung-min,TOT,Forward,10400000,6
P099,Brennan Johnson,TOT,Forward,5200000,6
P100,Mathys Tel,TOT,Forward,5700000,5
P101,Nick Pope,NEW,Goalie,3600000,6
P102,Martin Dubravka,NEW,Goalie,2100000,5
P103,Sven Botman,NEW,Defender,4700000,7
P104,Fabian Schar,NEW,Defender,3600000,7
P105,Dan Burn,NEW,Defender,2600000,6
